t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,3.036487486806745e+16,3747103829.3267155,4966423866.064674,1526673336675171.2,3746974396.653159,4778204869.755243,2.031648135465005e+16,8521720176742215.0,129432.67355286716,188218996.30942702,-5880.770802067031
21000.0,5.019030723031044e+16,62633733587.29673,94051252809.98763,1866865472206876.0,62631565993.87963,90420649568.71103,3.4785057925634196e+16,1.3538383832469274e+16,2167593.4170704284,3630603241.2765813,-113462.57060994153
33100.0,6.801962411516956e+16,463506493071.7337,796830677731.6871,2049587380264553.0,463490418854.8582,765445603247.1676,4.819002861358225e+16,1.7780008121322792e+16,16074216.875460712,31385074484.520054,-965295.9516257392
46410.0,8.529979353296965e+16,2156212452892.591,4259089922114.5205,2175556584561178.2,2156137508148.1548,4087752977785.523,6.1412700850659656e+16,2.171153609774856e+16,74944744.43303148,171336944329.00162,-5089690.843373787
61051.00000000001,1.026022248032024e+17,7348500001158.087,16673221042006.674,2272844468923907.5,7348243970129.142,15987783673405.008,7.481899919226667e+16,2.551038114201165e+16,256031028.95138058,685437368601.6653,-19292934.811297186
77156.10000000002,1.202324526970607e+17,20015864601584.23,52017091433333.93,2352959484259293.5,20015165433207.207,49831318514672.29,8.86124859543285e+16,2.9267007258472936e+16,699168377.0406042,2185772918661.7034,-57239963.04877604
94871.71000000004,1.3837851576333971e+17,46087057634546.21,136536882890970.2,2421689765210720.5,46085443383307.06,130672530499201.31,1.0292215837543517e+17,3.303466762269334e+16,1614251239.1367238,5864352391768.839,-140529863.22039008
114358.88100000005,1.5716163330465277e+17,93257782601344.08,313051560125753.75,2482338787859013.0,93254506663238.1,299309825963408.9,1.1783249703733762e+17,3.684679747945666e+16,3275938106.123877,13741734162345.01,-296992386.7457168
135794.76910000006,1.7665752416242374e+17,170575349158140.84,644243190420621.1,2536959461473476.5,170569338781617.66,615345933374438.8,1.3339610006207683e+17,4.072446463887369e+16,6010376523.061426,28897257046182.17,-556442370.1731691
159374.2460100001,1.9690736018587264e+17,287998708477305.0,1214494985995289.5,2586906153878929.0,287988527500524.25,1158837707768208.8,1.4964034163534096e+17,4.46801123966535e+16,10180976780.220781,55657278227082.01,-945519481.7740211
185311.67061100013,2.1792477602088342e+17,456080006803245.0,2130285853411053.2,2633110826739336.5,456063828465478.4,2030548031290814.8,1.6657192116056118e+17,4.8719744033581864e+16,16178337766.65377,99737822120241.25,-1483539227.781968
213842.83767210017,2.3970128655989434e+17,685813643188461.1,3519459047469017.0,2676233021028437.0,685789227193868.5,3351104148471353.0,1.8418066447572813e+17,5.284438906313745e+16,24415994593.403557,168354898997667.06,-2180526980.975468
245227.1214393102,2.6221098006659104e+17,988621770192473.0,5529802296815325.0,2716746736231027.0,988586439222623.6,5259477512945704.0,2.0244302476939792e+17,5.705120856096194e+16,35330969847.316284,270324783869620.72,-3037514673.873068
279749.8335832412,2.8541480383769818e+17,1376413397142280.8,8327350587544119.0,2754993697204751.0,1376364010175187.0,7911172651495085.0,2.2132540572870877e+17,6.13344044117847e+16,49386967091.72046,416177936049034.25,-4048408899.011313
317724.81694156537,3.0926456413692614e+17,1861658653321842.8,1.2094723354917424e+16,2791218046628654.5,1861591575162845.8,1.1476416582977992e+16,2.4078733008731587e+17,6.5686016002981976e+16,67078158999.35796,618306771939456.4,-5202512094.581132
359497.2986357219,3.337066941358564e+17,2457441275514465.0,1.7029695882541334e+16,2825590627071832.5,2457352343268870.0,1.6138533569544404e+16,2.607844538812308e+17,7.009664962755517e+16,88932245596.75916,891162312996947.4,-6486956129.239931
405447.02849929413,3.5868581000174317e+17,3177475642400743.0,2.3344115326479876e+16,2858227403586554.5,3177360130141618.5,2.209260526773288e+16,2.8127141908649293e+17,7.455616351166014e+16,115512259126.41982,1251510058747014.2,-7888637551.196067
455991.7313492236,3.841480434218594e+17,4036091999626466.0,3.1263217194700896e+16,2889204494700368.0,4035944582426621.0,2.9544464837622772e+16,3.022045240473234e+17,7.905431487983606e+16,147417199841.65942,1718752357078111.0,-9395538277.511663
511590.904484146,4.100441031665628e+17,5048203264674326.0,4.1025375775576504e+16,2918571010130492.0,5048017982734710.0,3.8710052540510824e+16,3.235441700792958e+17,8.35813620771364e+16,185281939619.69867,2315323235065704.5,-10997498509.025116
572749.9949325606,4.363319843859474e+17,6229270338901278.0,5.288232199966443e+16,2946360127834126.0,6229040561929876.0,4.9815160217686456e+16,3.4525701960671155e+17,8.812860465139984e+16,229776971395.83652,3067161781978058.5,-12686583956.191742
640024.9944258167,4.629792210231545e+17,7595282269753175.0,6.709987231408184e+16,2972598427412042.0,7595000661171048.0,6.30956010900554e+16,3.6731778416977165e+17,9.268883842596715e+16,281608582129.27734,4004271224026361.5,-14457193274.619349
714027.4938683985,4.8996457181061056e+17,9162764617937112.0,8.3959221039887e+16,2997313331699363.0,9162423097993824.0,7.879784874937811e+16,3.897105567442335e+17,9.725670173468078e+16,341519943276.84564,5161372290508929.0,-16306021076.903374
795430.2432552384,5.172790482051285e+17,1.0948825128628388e+16,1.037588480764602e+17,3020538512872022.5,1.0948414835145148e+16,9.71801871260697e+16,4.124296164008515e+17,1.0182889329140275e+17,410293483260.4873,6578660950390560.0,-18231952830.124035
884973.2675807623,5.449262330335415e+17,1.2971241004571402e+16,1.2681707974461326e+17,3042317224453196.5,1.297075224981722e+16,1.185143978798065e+17,4.3547966482225715e+17,1.064042509868273e+17,488754754179.96185,8302681864806756.0,-20235934158.88992
983470.5943388386,5.729218962681745e+17,1.5248587265260828e+16,1.534753138144618e+17,3062703669612538.5,1.52480094874144e+16,1.4308798392519154e+17,4.588754997597457e+17,1.1098369283881198e+17,577777846457.6998,1.0387329889270428e+16,-22320833683.73374
1091817.6537727225,6.012929796884273e+17,1.7800401334135896e+16,1.8410188530664976e+17,3081762665918286.0,1.779972304188051e+16,1.712068925623003e+17,4.826411826623301e+17,1.1557003436017888e+17,678292255397.5048,1.2894992744349742e+16,-24491305584.261337
1210999.4191499949,6.300760832784892e+17,2.0647375587127164e+16,2.1909651506219818e+17,3099567986671783.0,2.0646584296148852e+16,2.031986663455461e+17,5.0680880683373286e+17,1.2016770845808398e+17,791290978271.9668,1.589784871665204e+16,-26753653200.48157
1342099.3610649945,6.593156313589057e+17,2.3811567505450656e+16,2.5889525637724458e+17,3116199829865018.5,2.3810649665916976e+16,2.3941592224385782e+17,5.314170090271273e+17,1.247824225019127e+17,917839533710.8936,1.947933413338714e+16,-29115695063.35561
1486309.297171494,6.890619169673471e+17,2.7316616827159932e+16,3.039758465112084e+17,3131741878851031.0,2.7315557741591996e+16,2.8024004978143664e+17,5.5650938422103104e+17,1.294207908674609e+17,1059085567905.6002,2.3735796729771604e+16,-31586612167.077076
1644940.2268886436,7.193692152670902e+17,3.118795841626344e+16,3.548633526143071e+17,3146278375353211.5,3.1186742147598612e+16,3.260850012858319e+17,5.821329573729857e+17,1.3408997951874646e+17,1216268664799.178,2.8778351328475504e+16,-34176919170.02186
1819434.249577508,7.502941235188925e+17,3.5453025262326364e+16,4.121360717321792e+17,3159891536388382.0,3.54516345321648e+16,3.7740111316173856e+17,6.083368393587274e+17,1.3879739262377843e+17,1390730161634.6475,3.4734958570439864e+16,-36898249472.31977
2011377.6745352591,7.818942337694172e+17,4.014143477633707e+16,4.7643161448634125e+17,3172659530180468.0,4.013985085362906e+16,4.346788684622756e+17,6.351711529589801e+17,1.4355042128025608e+17,1583922707943.116,4.1752746024064616e+16,-39763354054.86161
2222515.4419887853,8.142271862326318e+17,4.5285156997959016e+16,5.4845318019686726e+17,3184655104007995.0,4.528335957846873e+16,4.984525854209851e+17,6.626862678284398e+17,1.483562633001778e+17,1797419490354.9114,5.0000594775882696e+16,-42786044363.83355
2454766.986187664,8.47350097271876e+17,5.091866502409382e+16,6.289760466373283e+17,3195944849483549.5,5.0916632100991176e+16,5.693040318096825e+17,6.909323396867817e+17,1.5322181273560694e+17,2032923102689.9023,5.967201482764587e+16,-45981183368.82628
2710243.6848064307,8.813193146573853e+17,5.707906954198448e+16,7.188543225453193e+17,3206589012582742.0,5.707677726788501e+16,6.478659895064942e+17,7.19959115596754e+17,1.5815361004804426e+17,2292274099479.0347,7.0988333038828264e+16,-49364709266.69733
2991268.053287074,9.161904287771313e+17,6.3806239874228296e+16,8.190280206313312e+17,3216641713016590.5,6.380366241493199e+16,7.348258041001796e+17,7.498159477273028e+17,1.631578393368139e+17,2577459296263.3003,8.420221653115125e+16,-52953688776.14785
3300394.8586157816,9.520184615881358e+17,7.1142913488193e+16,9.305305053190703e+17,3226151428095666.0,7.1140022868321496e+16,8.309289530377014e+17,7.805519523614598e+17,1.6824035779857542e+17,2890619871462.7246,9.960155228136867e+16,-56766395317.89286
