t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 2 volume 8,Total 1 volume 8,Total 1 volume 7,Total 1 volume 6,Flux surface 10: solute
10000.0,3.0369579045667396e+16,2647475.947846472,981484.1523176839,1526475370533040.2,2647384.3351677703,945037.0417700245,2.031992359328865e+16,8523180081845819.0,91.61267869950767,36447.11054765714,-1.1904040023254212
21000.0,5.0200451647085496e+16,84942774.848733,33524696.820167772,1866153449956135.2,84939831.2142428,32258519.360148393,3.4793408196547664e+16,1.3540890000581706e+16,2943.6344902988794,1266177.46001938,-41.084389228762355
33100.0,6.803997779377771e+16,875950865.1733397,378670603.4615074,2048506663924969.5,875920463.6439332,364105721.88840944,4.82070670421596e+16,1.7784404087693528e+16,30401.52940608468,14564881.573098227,-465.6631616539407
46410.0,8.533791030853486e+16,5087195438.427916,2423455733.1152124,2174192809245065.5,5087018611.65953,2328466970.4313097,6.144465664516623e+16,2.1719060854123784e+16,176826.7683960827,94988762.6839026,-2941.4969199482084
61051.00000000001,1.0267394704584578e+17,20439661067.351604,10735820154.825737,2271250704495223.0,20438949542.20643,10306917855.736256,7.487920411660675e+16,2.5523492224743908e+16,711525.1451882424,428902299.08947766,-12620.789911862308
77156.10000000002,1.2037162147070094e+17,63292838996.90535,36574371641.23507,2351174877221338.5,63290632458.761734,35085250002.31135,8.872958397479146e+16,2.929086261868802e+16,2206538.1435853145,1489121638.923692,-40849.31278815423
94871.71000000004,1.3865127313938608e+17,161434287934.88498,102236651953.8265,2419750272939121.5,161428651723.55496,97996193524.8385,1.0315220312729187e+17,3.3079319739154868e+16,5636211.3301685685,4240458428.988145,-106491.31606944957
114358.88100000005,1.5768480069696266e+17,354677300896.3296,244945390555.35306,2480285702190781.0,354664899942.20374,234602063479.56198,1.1827447286072974e+17,3.693004213404297e+16,12400954.125641191,10343327075.791357,-233885.29062143315
135794.76910000006,1.7761981833082086e+17,692933088414.6238,518865458601.39124,2534848293178063.5,692908825659.0454,496575858511.2491,1.3420979189809685e+17,4.08751781395464e+16,24262755.578481138,22289600090.14248,-447185.4628753701
159374.2460100001,1.9859193943689786e+17,1232446411271.437,994370164715.6195,2584817341023337.5,1232403195523.1956,950949972375.4447,1.5106525549939952e+17,4.494186659647468e+16,43215748.24338947,43420192340.17479,-763102.6876448446
185311.67061100013,2.2073171090632128e+17,2031343496535.7844,1754508138131.7427,2631163359899895.5,2031272165014.6418,1676699815261.3572,1.6894605118428893e+17,4.915449636213092e+16,71331521.14370635,77808322870.38625,-1185087.1115369627
